Speaker,DisplayName,World,Source File,Node ID,VO Filename,Text,In Folder?,Voice Actor,Recorded?,In Game?,Notes
AL,AdventureLand,World00,welcome,WelcomeToAdventureLand,al__welcome_to_adventure_land.ogg,"Welcome to your new home in AdventureLand! You've just moved in, and the townsfolk are eager to meet you.",Yes,,,Yes,Re-record — script updated
AL,AdventureLand,World00,welcome,StrangeCreatures,al__strange_creatures.ogg,"Word is there are some strange creatures around this town, too. Keep your wits about you.",No,,,No,New line — never recorded
AL,AdventureLand,World00,welcome,HaveFun,al__have_fun.ogg,"Use the arrows to move and explore. Get ready to have fun!",Yes,,,Yes,Re-record — script updated; arrow icons render in dialogue box only
AL,Pink Oyster Pearl,World10,pearl,collect_pearl,al__collect_pearl.ogg,You found the Perle de la Mer!,No,,,No,Pickup line (narrator)
AL,Rosie,World00,rosie,node_001,al__node_001.ogg,You caught Rosie!,No,,,No,⚠️ Node ID collision risk — see Notes section in companion doc
AL,SeaMonster,World10,sea-monster,trident_received,al__trident_received.ogg,You got a Magic Trident!,No,,,No,Narrator line inside sea-monster.tres
AL,TreeSign,World00,treesign,node_000,al__node_000.ogg,The Secret of the Tree of AdventureLand is deeply mysterious.,No,,,No,⚠️ Node ID collision — multiple AL signs share node_000..004
AL,TreeSign,World00,treesign,node_001,al__node_001.ogg,There are few who remember the living tree.,No,,,No,⚠️ Collision with rosie node_001
AL,TreeSign,World00,treesign,node_002,al__node_002.ogg,The tree was cut down after poison overtook it.,No,,,No,⚠️ Collision
AL,TreeSign,World00,treesign,node_003,al__node_003.ogg,The whole forest is still in danger...,No,,,No,⚠️ Collision
AL,TreeSign,World00,treesign,node_004,al__node_004.ogg,Unless a brave adventurer can find the source of the poison.,No,,,No,⚠️ Collision
AL,TreeSign,World00,treesign,node_005,al__node_005.ogg,Is anyone up to the task of saving AdventureLand?,No,,,No,
AL,TreeSign,World00,treesign,node_006,al__node_006.ogg,Can anyone find the source of the poison and save AdventureLand?,No,,,No,
AL,ForestSign,World01,forestsign,node_000,al__node_000.ogg,Welcome to Leafwood Forest.,No,,,No,⚠️ Collision with treesign node_000
AL,ForestSign,World01,forestsign,node_001,al__node_001.ogg,A dark blight has taken over much of these ancient woods.,No,,,No,⚠️ Collision
