# PerfMonitor started 2026-05-16T18:44:43
# threshold=18ms history=600f context=30f post=10f
# .NET GC server=False latencyMode=Interactive
frame,frame_ms,proc_ms,phys_ms,gc0,gc1,gc2,note
# SPIKE #1 t=465ms 142.69ms
# RECENT MARKS (last 2):
#   t=433ms [music_load] title_screens (BEGIN)
#   t=434ms [music_load] title_screens (END +2ms)
1,142.69,0.00,0.00,0,0,0,SPIKE
2,24.76,0.00,0.00,0,0,0,SPIKE+POST
3,15.89,0.00,0.00,0,0,0,POST
4,3.59,0.00,0.00,0,0,0,POST
5,13.13,0.00,0.00,0,0,0,POST
6,8.21,0.00,0.00,0,0,0,POST
7,6.67,0.00,0.00,0,0,0,POST
8,8.33,0.00,0.00,0,0,0,POST
9,7.14,0.00,0.00,0,0,0,POST
10,8.33,0.00,0.00,0,0,0,POST
11,7.41,0.00,0.00,0,0,0,POST

# SPIKE #2 t=941ms 33.87ms
# RECENT MARKS (last 2):
#   t=433ms [music_load] title_screens (BEGIN)
#   t=434ms [music_load] title_screens (END +2ms)
26,8.33,0.00,0.00,0,0,0,
27,8.33,0.00,0.00,0,0,0,
28,8.33,0.00,0.00,0,0,0,
29,8.33,0.00,0.00,0,0,0,
30,8.33,0.00,0.00,0,0,0,
31,8.33,0.00,0.00,0,0,0,
32,8.33,0.00,0.00,0,0,0,
33,8.33,0.00,0.00,0,0,0,
34,8.33,0.00,0.00,0,0,0,
35,8.33,0.00,0.00,0,0,0,
36,8.33,0.00,0.00,0,0,0,
37,8.33,0.00,0.00,0,0,0,
38,8.33,0.00,0.00,0,0,0,
39,8.33,0.00,0.00,0,0,0,
40,8.33,0.00,0.00,0,0,0,
41,8.33,0.00,0.00,0,0,0,
42,8.33,0.00,0.00,0,0,0,
43,8.33,0.00,0.00,0,0,0,
44,8.33,0.00,0.00,0,0,0,
45,8.33,0.00,0.00,0,0,0,
46,8.33,0.00,0.00,0,0,0,
47,8.33,0.00,0.00,0,0,0,
48,8.33,0.00,0.00,0,0,0,
49,8.33,0.00,0.00,0,0,0,
50,8.33,0.00,0.00,0,0,0,
51,8.33,0.00,0.00,0,0,0,
52,8.33,0.00,0.00,0,0,0,
53,8.33,0.00,0.00,0,0,0,
54,8.33,0.00,0.00,0,0,0,
55,33.87,0.00,0.00,0,0,0,SPIKE
56,16.67,0.00,0.00,0,0,0,POST
57,9.07,0.00,0.00,0,0,0,POST
58,8.21,0.00,0.00,0,0,0,POST
59,8.20,0.00,0.00,0,0,0,POST
60,8.23,0.00,0.00,0,0,0,POST
61,8.21,0.00,0.00,0,0,0,POST
62,8.20,0.00,0.00,0,0,0,POST
63,8.26,0.00,0.00,0,0,0,POST
64,7.41,39.46,14.02,0,0,0,POST
65,8.33,39.46,14.02,0,0,0,POST

# SPIKE #3 t=1144ms 26.66ms
# RECENT MARKS (last 2):
#   t=433ms [music_load] title_screens (BEGIN)
#   t=434ms [music_load] title_screens (END +2ms)
49,8.33,0.00,0.00,0,0,0,
50,8.33,0.00,0.00,0,0,0,
51,8.33,0.00,0.00,0,0,0,
52,8.33,0.00,0.00,0,0,0,
53,8.33,0.00,0.00,0,0,0,
54,8.33,0.00,0.00,0,0,0,
55,33.87,0.00,0.00,0,0,0,
56,16.67,0.00,0.00,0,0,0,
57,9.07,0.00,0.00,0,0,0,
58,8.21,0.00,0.00,0,0,0,
59,8.20,0.00,0.00,0,0,0,
60,8.23,0.00,0.00,0,0,0,
61,8.21,0.00,0.00,0,0,0,
62,8.20,0.00,0.00,0,0,0,
63,8.26,0.00,0.00,0,0,0,
64,7.41,39.46,14.02,0,0,0,
65,8.33,39.46,14.02,0,0,0,
66,7.58,39.46,14.02,0,0,0,
67,8.33,39.46,14.02,0,0,0,
68,7.58,39.46,14.02,0,0,0,
69,7.58,39.46,14.02,0,0,0,
70,7.58,39.46,14.02,0,0,0,
71,7.58,39.46,14.02,0,0,0,
72,7.58,39.46,14.02,0,0,0,
73,7.58,39.46,14.02,0,0,0,
74,7.58,39.46,14.02,0,0,0,
75,6.94,39.46,14.02,0,0,0,
76,14.13,39.46,14.02,0,0,0,
77,2.54,39.46,14.02,0,0,0,
78,26.66,39.46,14.02,0,0,0,SPIKE
79,16.67,39.46,14.02,0,0,0,POST
80,5.82,39.46,14.02,0,0,0,POST
81,9.04,39.46,14.02,0,0,0,POST
82,7.90,39.46,14.02,0,0,0,POST
83,11.11,39.46,14.02,0,0,0,POST
84,6.83,39.46,14.02,0,0,0,POST
85,6.90,39.46,14.02,0,0,0,POST
86,8.33,39.46,14.02,0,0,0,POST
87,8.28,39.46,14.02,0,0,0,POST
88,8.33,39.46,14.02,0,0,0,POST

# SPIKE #4 t=6274ms 34.04ms
# RECENT MARKS (last 2):
#   t=433ms [music_load] title_screens (BEGIN)
#   t=434ms [music_load] title_screens (END +2ms)
661,8.33,9.22,0.16,0,0,0,
662,8.33,9.19,0.16,0,0,0,
663,8.33,9.19,0.16,0,0,0,
664,8.33,9.19,0.16,0,0,0,
665,8.33,9.19,0.16,0,0,0,
666,8.33,9.19,0.16,0,0,0,
667,8.33,9.19,0.16,0,0,0,
668,8.33,9.19,0.16,0,0,0,
669,8.33,9.19,0.16,0,0,0,
670,8.33,9.19,0.16,0,0,0,
671,8.33,9.19,0.16,0,0,0,
672,8.33,9.19,0.16,0,0,0,
673,8.33,9.19,0.16,0,0,0,
674,8.33,9.19,0.16,0,0,0,
675,8.33,9.19,0.16,0,0,0,
676,8.33,9.19,0.16,0,0,0,
677,8.33,9.19,0.16,0,0,0,
678,8.33,9.19,0.16,0,0,0,
679,8.33,9.19,0.16,0,0,0,
680,8.33,9.19,0.16,0,0,0,
681,8.33,9.19,0.16,0,0,0,
682,8.33,9.19,0.16,0,0,0,
683,8.33,9.19,0.16,0,0,0,
684,8.33,9.19,0.16,0,0,0,
685,8.33,9.19,0.16,0,0,0,
686,8.33,9.19,0.16,0,0,0,
687,8.33,9.19,0.16,0,0,0,
688,8.33,9.19,0.16,0,0,0,
689,8.33,9.19,0.16,0,0,0,
690,34.04,9.19,0.16,0,0,0,SPIKE
691,11.11,9.19,0.16,0,0,0,POST
692,5.68,9.19,0.16,0,0,0,POST
693,7.65,9.19,0.16,0,0,0,POST
694,5.56,9.19,0.16,0,0,0,POST
695,8.33,9.19,0.16,0,0,0,POST
696,6.67,9.19,0.16,0,0,0,POST
697,8.33,9.19,0.16,0,0,0,POST
698,7.14,9.19,0.16,0,0,0,POST
699,8.33,9.19,0.16,0,0,0,POST
700,7.41,9.19,0.16,0,0,0,POST

# SPIKE #5 t=22083ms 100.86ms
# RECENT MARKS (last 2):
#   t=433ms [music_load] title_screens (BEGIN)
#   t=434ms [music_load] title_screens (END +2ms)
2541,8.33,9.09,0.30,0,0,0,
2542,8.33,9.09,0.30,0,0,0,
2543,8.33,9.09,0.30,0,0,0,
2544,8.33,9.09,0.30,0,0,0,
2545,8.33,9.09,0.30,0,0,0,
2546,8.33,9.09,0.30,0,0,0,
2547,8.33,9.09,0.30,0,0,0,
2548,8.33,9.09,0.30,0,0,0,
2549,8.33,9.09,0.30,0,0,0,
2550,8.33,9.09,0.30,0,0,0,
2551,8.33,9.09,0.30,0,0,0,
2552,8.33,9.09,0.30,0,0,0,
2553,8.33,9.09,0.30,0,0,0,
2554,8.33,9.09,0.30,0,0,0,
2555,8.33,9.09,0.30,0,0,0,
2556,8.33,9.09,0.30,0,0,0,
2557,8.33,9.09,0.30,0,0,0,
2558,8.33,9.09,0.30,0,0,0,
2559,8.33,9.09,0.30,0,0,0,
2560,8.33,9.09,0.30,0,0,0,
2561,8.33,9.09,0.30,0,0,0,
2562,8.33,9.09,0.30,0,0,0,
2563,8.33,9.09,0.30,0,0,0,
2564,8.33,9.09,0.30,0,0,0,
2565,8.33,9.09,0.30,0,0,0,
2566,8.33,9.09,0.30,0,0,0,
2567,8.33,9.09,0.30,0,0,0,
2568,8.33,9.09,0.30,0,0,0,
2569,8.33,9.09,0.30,0,0,0,
2570,100.86,9.09,0.30,0,0,0,SPIKE
2571,16.67,9.29,0.67,0,0,0,POST
2572,0.04,9.29,0.67,0,0,0,POST
2573,7.59,9.29,0.67,0,0,0,POST
2574,8.33,9.29,0.67,0,0,0,POST
2575,5.56,9.29,0.67,0,0,0,POST
2576,5.56,9.29,0.67,0,0,0,POST
2577,5.56,9.29,0.67,0,0,0,POST
2578,8.33,9.29,0.67,0,0,0,POST
2579,8.33,9.29,0.67,0,0,0,POST
2580,8.33,9.29,0.67,0,0,0,POST

# SPIKE #6 t=24326ms 66.25ms
# RECENT MARKS (last 12):
#   t=22276ms [scene_transition] res://scenes/worlds/World_00.tscn (BEGIN)
#   t=24253ms [scene_transition] res://scenes/worlds/World_00.tscn (END +1977ms)
#   t=24261ms [npc_init] Penny (BEGIN)
#   t=24263ms [npc_init] Penny (END +2ms)
#   t=24287ms [music_load] adventureland_happy (BEGIN)
#   t=24290ms [music_load] adventureland_happy (END +3ms)
#   t=24290ms [music_load] adventureland_stress (BEGIN)
#   t=24293ms [music_load] adventureland_stress (END +3ms)
#   t=24293ms [music_load] adventureland_danger (BEGIN)
#   t=24296ms [music_load] adventureland_danger (END +3ms)
#   t=24297ms [map_load] root (BEGIN)
#   t=24303ms [map_load] root (END +6ms)
2803,8.33,8.97,0.04,0,0,0,
2804,8.33,8.76,0.02,0,0,0,
2805,8.33,8.76,0.02,0,0,0,
2806,8.33,8.76,0.02,0,0,0,
2807,8.33,8.76,0.02,0,0,0,
2808,8.33,8.76,0.02,0,0,0,
2809,8.33,8.76,0.02,0,0,0,
2810,8.33,8.76,0.02,0,0,0,
2811,8.33,8.76,0.02,0,0,0,
2812,8.33,8.76,0.02,0,0,0,
2813,8.33,8.76,0.02,0,0,0,
2814,8.33,8.76,0.02,0,0,0,
2815,8.33,8.76,0.02,0,0,0,
2816,8.33,8.76,0.02,0,0,0,
2817,8.33,8.76,0.02,0,0,0,
2818,8.33,8.76,0.02,0,0,0,
2819,8.33,8.76,0.02,0,0,0,
2820,8.33,8.76,0.02,0,0,0,
2821,8.33,8.76,0.02,0,0,0,
2822,8.33,8.76,0.02,0,0,0,
2823,8.33,8.76,0.02,0,0,0,
2824,8.33,8.76,0.02,0,0,0,
2825,8.33,8.76,0.02,0,0,0,
2826,8.33,8.76,0.02,0,0,0,
2827,8.33,8.76,0.02,1,0,0,
2828,8.33,8.76,0.02,0,0,0,
2829,8.33,8.76,0.02,0,0,0,
2830,8.33,8.76,0.02,0,0,0,
2831,8.33,8.76,0.02,0,0,0,
2832,66.25,8.76,0.02,0,0,0,SPIKE
2833,25.00,8.76,0.02,0,0,0,SPIKE+POST
2834,0.63,8.76,0.02,0,0,0,POST
2835,8.33,8.76,0.02,0,0,0,POST
2836,8.33,8.76,0.02,0,0,0,POST
2837,8.33,8.76,0.02,0,0,0,POST
2838,8.33,8.76,0.02,0,0,0,POST
2839,8.33,8.76,0.02,0,0,0,POST
2840,8.33,8.76,0.02,0,0,0,POST
2841,8.33,8.76,0.02,0,0,0,POST
2842,8.33,8.76,0.02,0,0,0,POST

# SPIKE #7 t=79975ms 24.72ms
# RECENT MARKS (last 12):
#   t=41491ms [vo_play] AL/HaveFun (BEGIN)
#   t=41496ms [vo_play] AL/HaveFun (END +5ms)
#   t=70331ms [sfx_play] heart (BEGIN)
#   t=70335ms [sfx_play] heart (END +4ms)
#   t=76723ms [scene_transition] res://scenes/worlds/World_00_Blacksmith.tscn (BEGIN)
#   t=76784ms [scene_transition] res://scenes/worlds/World_00_Blacksmith.tscn (END +61ms)
#   t=76787ms [npc_init] Sally (BEGIN)
#   t=76788ms [npc_init] Sally (END +1ms)
#   t=76789ms [music_load] adventureland_interior (BEGIN)
#   t=76798ms [music_load] adventureland_interior (END +9ms)
#   t=76799ms [map_load] root (BEGIN)
#   t=76800ms [map_load] root (END +1ms)
9464,8.33,9.26,0.94,0,0,0,
9465,8.33,9.26,0.94,0,0,0,
9466,8.33,9.26,0.94,0,0,0,
9467,8.33,9.26,0.94,0,0,0,
9468,8.33,9.26,0.94,0,0,0,
9469,8.33,9.26,0.94,0,0,0,
9470,8.33,9.26,0.94,0,0,0,
9471,8.33,9.26,0.94,0,0,0,
9472,8.33,9.26,0.94,0,0,0,
9473,8.33,9.26,0.94,0,0,0,
9474,8.33,9.26,0.94,0,0,0,
9475,8.33,9.26,0.94,0,0,0,
9476,8.33,9.26,0.94,0,0,0,
9477,8.33,9.26,0.94,0,0,0,
9478,8.33,9.26,0.94,0,0,0,
9479,8.33,9.26,0.94,0,0,0,
9480,8.33,9.26,0.94,0,0,0,
9481,8.33,9.26,0.94,0,0,0,
9482,8.33,9.26,0.94,0,0,0,
9483,8.33,9.26,0.94,0,0,0,
9484,8.33,9.26,0.94,0,0,0,
9485,8.33,9.26,0.94,0,0,0,
9486,8.33,9.26,0.94,0,0,0,
9487,8.33,9.26,0.94,0,0,0,
9488,8.33,9.26,0.94,0,0,0,
9489,8.33,9.26,0.94,0,0,0,
9490,8.33,9.26,0.94,0,0,0,
9491,8.33,9.26,0.94,0,0,0,
9492,8.33,9.26,0.94,1,1,1,
9493,24.72,9.26,0.94,0,0,0,SPIKE
9494,7.96,9.26,0.94,0,0,0,POST
9495,9.09,9.26,0.94,0,0,0,POST
9496,7.58,9.26,0.94,0,0,0,POST
9497,9.09,9.26,0.94,0,0,0,POST
9498,7.58,9.26,0.94,0,0,0,POST
9499,9.09,44.39,1.69,0,0,0,POST
9500,7.58,44.39,1.69,0,0,0,POST
9501,9.09,44.39,1.69,0,0,0,POST
9502,7.58,44.39,1.69,0,0,0,POST
9503,9.09,44.39,1.69,0,0,0,POST

# SPIKE #8 t=112693ms 24.49ms
# RECENT MARKS (last 12):
#   t=76787ms [npc_init] Sally (BEGIN)
#   t=76788ms [npc_init] Sally (END +1ms)
#   t=76789ms [music_load] adventureland_interior (BEGIN)
#   t=76798ms [music_load] adventureland_interior (END +9ms)
#   t=76799ms [map_load] root (BEGIN)
#   t=76800ms [map_load] root (END +1ms)
#   t=88290ms [vo_play] Shopkeeper_Sally/node_000 (BEGIN)
#   t=88290ms [vo_play] Shopkeeper_Sally/node_000 (END +0ms)
#   t=88930ms [vo_play] Shopkeeper_Sally/node_001 (BEGIN)
#   t=88931ms [vo_play] Shopkeeper_Sally/node_001 (END +1ms)
#   t=112664ms [sfx_play] collectible_pickup (BEGIN)
#   t=112667ms [sfx_play] collectible_pickup (END +3ms)
13387,8.33,9.89,0.24,0,0,0,
13388,8.33,9.89,0.24,0,0,0,
13389,8.33,9.89,0.24,0,0,0,
13390,8.33,9.89,0.24,0,0,0,
13391,8.33,9.89,0.24,0,0,0,
13392,8.33,9.89,0.24,0,0,0,
13393,8.33,9.89,0.24,0,0,0,
13394,8.33,9.89,0.24,0,0,0,
13395,8.33,9.89,0.24,0,0,0,
13396,8.33,9.89,0.24,0,0,0,
13397,8.33,9.89,0.24,0,0,0,
13398,8.33,9.89,0.24,0,0,0,
13399,8.33,9.89,0.24,0,0,0,
13400,8.33,9.89,0.24,0,0,0,
13401,8.33,9.89,0.24,0,0,0,
13402,8.33,9.89,0.24,0,0,0,
13403,8.33,9.89,0.24,0,0,0,
13404,8.33,9.89,0.24,0,0,0,
13405,8.33,9.89,0.24,0,0,0,
13406,8.33,9.89,0.24,0,0,0,
13407,8.33,9.89,0.24,0,0,0,
13408,8.33,9.89,0.24,0,0,0,
13409,8.33,9.89,0.24,0,0,0,
13410,8.33,9.89,0.24,0,0,0,
13411,8.33,9.89,0.24,0,0,0,
13412,8.33,9.89,0.24,0,0,0,
13413,8.33,9.89,0.24,0,0,0,
13414,8.33,9.89,0.24,0,0,0,
13415,8.33,9.89,0.24,0,0,0,
13416,24.49,9.89,0.24,0,0,0,SPIKE
13417,8.63,9.89,0.24,0,0,0,POST
13418,9.09,9.89,0.24,0,0,0,POST
13419,7.58,9.89,0.24,0,0,0,POST
13420,9.09,9.89,0.24,0,0,0,POST
13421,7.58,9.89,0.24,0,0,0,POST
13422,9.09,9.89,0.24,0,0,0,POST
13423,7.58,9.89,0.24,0,0,0,POST
13424,9.09,9.89,0.24,0,0,0,POST
13425,7.58,9.89,0.24,0,0,0,POST
13426,9.09,9.89,0.24,0,0,0,POST

# SPIKE #9 t=129760ms 41.40ms
# RECENT MARKS (last 12):
#   t=127388ms [sfx_play] slime_jump (BEGIN)
#   t=127389ms [sfx_play] slime_jump (END +1ms)
#   t=128513ms [sfx_play] player_pike (BEGIN)
#   t=128514ms [sfx_play] player_pike (END +1ms)
#   t=129271ms [sfx_play] slime_jump (BEGIN)
#   t=129272ms [sfx_play] slime_jump (END +1ms)
#   t=129413ms [sfx_play] player_pike (BEGIN)
#   t=129414ms [sfx_play] player_pike (END +1ms)
#   t=129709ms [sfx_play] enemy_hurt (BEGIN)
#   t=129712ms [sfx_play] enemy_hurt (END +3ms)
#   t=129713ms [sfx_play] enemy_destroy (BEGIN)
#   t=129715ms [sfx_play] enemy_destroy (END +2ms)
15428,8.33,9.28,0.88,0,0,0,
15429,8.33,9.28,0.88,0,0,0,
15430,8.33,9.28,0.88,0,0,0,
15431,8.33,9.28,0.88,0,0,0,
15432,8.33,9.28,0.88,0,0,0,
15433,8.33,9.28,0.88,0,0,0,
15434,8.33,9.28,0.88,0,0,0,
15435,8.33,9.28,0.88,0,0,0,
15436,8.33,9.28,0.88,0,0,0,
15437,8.33,9.28,0.88,0,0,0,
15438,8.33,9.28,0.88,0,0,0,
15439,8.33,9.28,0.88,0,0,0,
15440,8.33,9.28,0.88,0,0,0,
15441,8.33,9.28,0.88,0,0,0,
15442,8.33,9.28,0.88,0,0,0,
15443,8.33,9.28,0.88,0,0,0,
15444,8.33,9.28,0.88,0,0,0,
15445,8.33,9.28,0.88,0,0,0,
15446,8.33,9.28,0.88,0,0,0,
15447,8.33,9.28,0.88,0,0,0,
15448,8.33,9.28,0.88,0,0,0,
15449,8.33,9.28,0.88,0,0,0,
15450,8.33,9.28,0.88,0,0,0,
15451,8.33,9.28,0.88,0,0,0,
15452,8.33,9.28,0.88,0,0,0,
15453,8.33,9.28,0.88,0,0,0,
15454,8.33,9.28,0.88,0,0,0,
15455,8.33,9.28,0.88,0,0,0,
15456,8.33,9.28,0.88,0,0,0,
15457,41.40,9.28,0.88,0,0,0,SPIKE
