npcId,nodeId,speaker,text,vo_file,recorded,notes
Shopkeeper_Sophie,node_000,Shopkeeper_Sophie,"Welcome to the Adventure shop. ",files/vo/Shopkeeper_Sophie/Shopkeeper_Sophie__node_000.ogg,,
Shopkeeper_Sally,node_000,Shopkeeper_Sally,"Welcome to the Blacksmith shop.",files/vo/Shopkeeper_Sally/Shopkeeper_Sally__node_000.ogg,,
Shopkeeper_Sally,node_001,Shopkeeper_Sally,"If you",files/vo/Shopkeeper_Sally/Shopkeeper_Sally__node_001.ogg,,
ForestSign,node_000,AL,"Welcome to Leafwood Forest.",files/vo/AL/AL__node_000.ogg,,
ForestSign,node_001,AL,"A dark blight has taken over much of these ancient woods.",files/vo/AL/AL__node_001.ogg,,
ForestSign,node_002,AL,"Poisoned creatures now patrol the blighted areas.",files/vo/AL/AL__node_002.ogg,,
ForestSign,node_003,AL,"Tread carefully, brave adventurer.",files/vo/AL/AL__node_003.ogg,,
Shopkeeper_Sarah,node_000,Shopkeeper_Sarah,"Welcome to the General Store. We have the best clothes in town.",files/vo/Shopkeeper_Sarah/Shopkeeper_Sarah__node_000.ogg,,
LakeSign,node_000,AL,"You",files/vo/AL/AL__node_000.ogg,,
LakeSign,node_001,AL,"The waterfall always flows but the lake never floods.",files/vo/AL/AL__node_001.ogg,,
LakeSign,node_002,AL,"Rumor has it there",files/vo/AL/AL__node_002.ogg,,
LakeSign,node_003,AL,"and protecting something very valuable in the depths of the lake.",files/vo/AL/AL__node_003.ogg,,
Penny,greeting,AL:Penny,"Oh! Hello there! You must be new to the village.",files/vo/AL:Penny/AL:Penny__greeting.ogg,,
Penny,quest1_explain,AL:Penny,"My cat Rosie is missing! Can you help me find her?",files/vo/AL:Penny/AL:Penny__quest1_explain.ogg,,
Penny,quest1_accept,AL:Penny,"Thank you! Rosie usually hangs around the forest.",files/vo/AL:Penny/AL:Penny__quest1_accept.ogg,,
Penny,quest1_active,AL:Penny,"Did you find Rosie?",files/vo/AL:Penny/AL:Penny__quest1_active.ogg,,
Penny,quest1_complete,AL:Penny,"You found Rosie! Thank you so much!",files/vo/AL:Penny/AL:Penny__quest1_complete.ogg,,
Penny,quest2_intro,AL:Penny,"Now that Rosie",files/vo/AL:Penny/AL:Penny__quest2_intro.ogg,,
Penny,quest2_explain,AL:Penny,"I need 5 carrots and 3 tomatoes to plant. Can you gather them?",files/vo/AL:Penny/AL:Penny__quest2_explain.ogg,,
Penny,quest2_accept,AL:Penny,"Wonderful! You can find seeds at the market.",files/vo/AL:Penny/AL:Penny__quest2_accept.ogg,,
Penny,quest2_active,AL:Penny,"How",files/vo/AL:Penny/AL:Penny__quest2_active.ogg,,
Penny,quest2_declined,AL:Penny,"No problem! Come back if you change your mind.",files/vo/AL:Penny/AL:Penny__quest2_declined.ogg,,
Penny,quest2_complete,AL:Penny,"Perfect! My garden will look amazing!",files/vo/AL:Penny/AL:Penny__quest2_complete.ogg,,
Penny,quest3_intro,AL:Penny,"Oh! My birthday is coming up! Would you like to help me celebrate?",files/vo/AL:Penny/AL:Penny__quest3_intro.ogg,,
Penny,all_quests_done,AL:Penny,"Thanks again for all your help! You",files/vo/AL:Penny/AL:Penny__all_quests_done.ogg,,
PinkOysterPearl,collect_pearl,AL,"You found the Perle de la Mer!",files/vo/AL/AL__collect_pearl.ogg,,
Penny,node_000,Penny,"Hi there adventurer! I’m Penny.",files/vo/Penny/Penny__node_000.ogg,,
Penny,node_001,Penny,"What",files/vo/Penny/Penny__node_001.ogg,,
Penny,node_002,You,"",,,skip (player response choices)
Penny,node_003,Penny,"Cool name!",files/vo/Penny/Penny__node_003.ogg,,
Penny,node_004,Penny,"|PlayerName|, could you please help me find my cat?",files/vo/Penny/Penny__node_004.ogg,,
Penny,node_005,Penny,"I think she’s somewhere in the village.",files/vo/Penny/Penny__node_005.ogg,,
Penny,node_006,Penny,"I",files/vo/Penny/Penny__node_006.ogg,,
Penny,node_007,You,"",,,skip (player response choices)
Penny,node_008,Penny,"Great! Her name is Rosie, which is on her tag.",files/vo/Penny/Penny__node_008.ogg,,
Penny,node_009,Penny,"It",files/vo/Penny/Penny__node_009.ogg,,
Penny,node_010,Penny,"Please find Rosie if you can. She likes climbing trees.",files/vo/Penny/Penny__node_010.ogg,,
Penny,node_011,Penny,"Have you found my cat, |PlayerName|?",files/vo/Penny/Penny__node_011.ogg,,
Penny,node_012,You,"",,,skip (player response choices)
Penny,node_013,Penny:Rosie,"ROSIE!!! ",files/vo/Penny:Rosie/Penny:Rosie__node_013.ogg,,
Penny,node_014,Penny,"Thank you so much! I",files/vo/Penny/Penny__node_014.ogg,,
Penny,node_015,Penny,"I’m so happy Rosie is home!",files/vo/Penny/Penny__node_015.ogg,,
Penny,node_016,Penny,"Please take anything you would like, but only take one thing.",files/vo/Penny/Penny__node_016.ogg,,
Prospector_Pete,node_000,Pete,"Hi there! I",files/vo/Pete/Pete__node_000.ogg,,
Prospector_Pete,node_001,Pete,"",files/vo/Pete/Pete__node_001.ogg,,
Prospector_Pete,node_002,Pete,"I",files/vo/Pete/Pete__node_002.ogg,,
Prospector_Pete,node_002b,Pete,"the south, but the bridge broke!",files/vo/Pete/Pete__node_002b.ogg,,
Prospector_Pete,node_003,Pete,"Oh, I pan for gold in the rivers and streams. Been pretty lucky over the years.",files/vo/Pete/Pete__node_003.ogg,,
Prospector_Pete,node_005,Pete,"It",files/vo/Pete/Pete__node_005.ogg,,
Prospector_Pete,node_006,Pete,"And I",files/vo/Pete/Pete__node_006.ogg,,
Prospector_Pete,node_006b,Pete,"the south. Could you help me?",files/vo/Pete/Pete__node_006b.ogg,,
Prospector_Pete,node_007,Pete,"",files/vo/Pete/Pete__node_007.ogg,,
Prospector_Pete,node_008,Pete,"I really appreciate the help! I",files/vo/Pete/Pete__node_008.ogg,,
Prospector_Pete,node_010,Pete,"Thank ye kindly for the help!",files/vo/Pete/Pete__node_010.ogg,,
Rosie,node_000,Rosie,"Meow",files/vo/Rosie/Rosie__node_000.ogg,,
Rosie,node_001,AL,"You caught Rosie!",files/vo/AL/AL__node_001.ogg,,
